site_id,pm25_mean,pm25_std,pm25_p90,pm25_season_amp,temp_mean,humidity_mean,windspeed_mean,precip_mean,lat,lon,n_days,cluster,category
site_67,32.83588544844531,15.131413871162485,52.81131304347824,33.88368833636741,22.562616366279087,79.98098513483585,1.7336612106220375,0.923940607602907,0.329076,32.634791,344.0,0,low-pollution / well-ventilated
site_68,36.67926045513881,17.451764188282215,60.53048026315793,37.879592664271556,22.548808219895307,80.08814300440712,1.680212008396933,0.894909128670157,0.344839,32.638493,382.0,0,low-pollution / well-ventilated
site_69,33.13409343141849,11.979366513071467,48.97195238095238,29.70010670376793,22.635104663677055,80.03028796601424,1.7498139868289924,0.8607103139233185,0.350681,32.704816,223.0,0,low-pollution / well-ventilated
site_70,39.9077833371316,15.696149997367872,57.918424242424244,33.58880467419765,22.285491061007974,80.23696920818423,1.721749843224281,0.7970510188805836,0.29031,32.508632,377.0,0,low-pollution / well-ventilated
site_71,33.896144753644485,14.960111639079747,52.749583333333334,38.62096786605514,22.599096487341797,80.60786607223746,1.6372665192089833,0.9383438512503165,0.36148,32.644796,316.0,0,low-pollution / well-ventilated
site_72,56.29035283404127,20.986331050014098,84.89673913043478,41.20955763882176,22.24591514880956,79.84648457248687,1.584556104626286,0.7496312981764286,0.273051,32.586283,336.0,1,high-pollution / well-ventilated
site_74,25.822616280900988,10.688008370489186,40.7827044534413,16.46329782534466,22.0878092542373,80.97933430329073,1.7575571396931293,0.8185879671268474,0.307465,32.607263,295.0,0,low-pollution / well-ventilated
site_76,27.02267901238026,9.702095840772948,39.27440000000001,14.328819992891138,21.97771396887157,80.82793069647488,1.676191020122252,0.7990928016280934,0.356146,32.588197,257.0,0,low-pollution / well-ventilated
site_79,32.16675770459471,11.093632259729894,48.66083333333336,23.503004593240313,22.190594755700374,80.59269508402865,1.7145429577123767,0.7919341054614983,0.356989,32.613888,307.0,0,low-pollution / well-ventilated
site_88,34.85739910441623,10.707522052868304,48.19379166666666,19.93708630329602,21.8900025625,80.93747518952468,1.4291516520037892,0.748197735265375,0.329264,32.566964,160.0,0,low-pollution / well-ventilated
site_89,32.31596539542627,11.148046150374057,48.57066666666666,23.206064692447484,21.908037979797996,80.59093027727114,1.4719770449482068,0.7456348414894949,0.303437,32.59462,198.0,0,low-pollution / well-ventilated
site_91,31.668038403072245,11.786671165806402,46.2825,30.975680886050498,21.95573456790129,82.42091962509927,1.3148705461379422,0.7997589353229629,0.337095,32.610288,81.0,0,low-pollution / well-ventilated
