site_id,fold,method,window_days,true_full_category,assigned_category,category_correct,rmse,mae,bias
site_68,4,window,60,4,5,False,21.523089465334845,19.70832111734719,19.260523472976494
site_76,4,window,60,0,4,False,15.882369920096224,13.794162620921455,13.242119746738672
site_44,5,window,60,2,2,True,9.289708578394842,7.045681366873305,5.8586209064340595
site_48,5,window,60,2,2,True,12.957061437530133,11.216576624211871,11.057022852843096
site_52,5,window,60,1,2,False,10.930468881340836,7.767025905194639,-0.6904873336493438
site_61,5,window,60,5,2,False,31.069043553635233,26.226172141091357,-17.093487862951694
site_71,5,window,60,4,3,False,11.515081621716659,10.070250648503528,9.370613730012355
site_72,5,window,60,5,5,True,13.418373182302872,9.714670852804888,-5.530527929014018
site_74,5,window,60,2,4,False,10.083214964210786,7.816427692410746,5.205724534880671
site_91,5,window,60,2,2,True,10.816284614379029,9.538137832478409,-6.690096119155074
site_35,1,distance,60,5,1,False,12.167206876542284,10.232314891590956,7.7235977416635615
site_36,1,distance,60,0,1,False,17.410504522152706,15.08927350794659,12.42236833015093
site_45,1,distance,60,3,3,True,16.397722434562333,12.688847623557747,7.143553089202517
site_54,1,distance,60,3,1,False,19.1321725476472,15.063271653011318,-13.23477701326614
site_57,1,distance,60,5,1,False,13.642266781773657,11.489201902877285,4.2440861268774475
site_66,1,distance,60,5,3,False,18.76998950301397,18.024647682847604,17.947353596424026
site_79,1,distance,60,4,0,False,16.38074481625769,15.41005042703334,15.3091811279154
site_26,2,distance,60,3,4,False,5.861999002788865,4.647764731020914,1.6768557844257834
site_49,2,distance,60,3,4,False,7.018879792323544,5.761802864846413,3.4602722577276768
site_53,2,distance,60,2,4,False,16.407950448725693,13.222318987480888,-12.708769763948709
site_58,2,distance,60,4,4,True,16.702108756018244,12.639280687174082,-8.143242584929526
site_59,2,distance,60,4,4,True,25.229307073225712,18.499564270207568,-15.729133399915506
site_60,2,distance,60,1,1,True,8.990604571390312,6.8184153571082495,-3.234798468457636
site_64,2,distance,60,4,4,True,13.99631845937515,11.723191040457944,6.406356430207478
site_88,2,distance,60,3,0,False,4.3366381630480255,3.4385370547750655,0.5016258170460217
